name	old_url	reason	final_url
Crane Crest	https://camellia.iflora.cn/Cutivars/Detail?latin=Crane%20Crest	redirect_404	https://camellia.iflora.cn/Error/Error404
Crepe Rosette	https://camellia.iflora.cn/Cutivars/Detail?latin=Crepe%20Rosette	redirect_404	https://camellia.iflora.cn/Error/Error404
Crimson Robe	https://camellia.iflora.cn/Cutivars/Detail?latin=Crimson%20Robe	redirect_404	https://camellia.iflora.cn/Error/Error404
Cup Of Creme	https://camellia.iflora.cn/Cutivars/Detail?latin=Cup%20Of%20Creme	redirect_404	https://camellia.iflora.cn/Error/Error404
Cutey Pie	https://camellia.iflora.cn/Cutivars/Detail?latin=Cutey%20Pie	redirect_404	https://camellia.iflora.cn/Error/Error404
D. Herzilia De Freitas Magalhaes	https://camellia.iflora.cn/Cutivars/Detail?latin=D.%20Herzilia%20De%20Freitas%20Magalhaes	redirect_404	https://camellia.iflora.cn/Error/Error404
Dai Hassu	https://camellia.iflora.cn/Cutivars/Detail?latin=Dai%20Hassu	redirect_404	https://camellia.iflora.cn/Error/Error404
Daijôkan (Large Castle Crown)	https://camellia.iflora.cn/Cutivars/Detail?latin=Daij%C3%B4kan%20%28Large%20Castle%20Crown%29	redirect_404	https://camellia.iflora.cn/Error/Error404
Dali Butterfly Wing	https://camellia.iflora.cn/Cutivars/Detail?latin=Dali%20Butterfly%20Wing	redirect_404	https://camellia.iflora.cn/Error/Error404
Dalu Jiuqu Variegated	https://camellia.iflora.cn/Cutivars/Detail?latin=Dalu%20Jiuqu%20Variegated	redirect_404	https://camellia.iflora.cn/Error/Error404
Dame Silvia	https://camellia.iflora.cn/Cutivars/Detail?latin=Dame%20Silvia	redirect_404	https://camellia.iflora.cn/Error/Error404
Dantre Sievers	https://camellia.iflora.cn/Cutivars/Detail?latin=Dantre%20Sievers	redirect_404	https://camellia.iflora.cn/Error/Error404
Darleen Stoner	https://camellia.iflora.cn/Cutivars/Detail?latin=Darleen%20Stoner	redirect_404	https://camellia.iflora.cn/Error/Error404
Daughter's Red	https://camellia.iflora.cn/Cutivars/Detail?latin=Daughter%27s%20Red	redirect_404	https://camellia.iflora.cn/Error/Error404
Dave C. Strother	https://camellia.iflora.cn/Cutivars/Detail?latin=Dave%20C.%20Strother	redirect_404	https://camellia.iflora.cn/Error/Error404
Debbie Odom	https://camellia.iflora.cn/Cutivars/Detail?latin=Debbie%20Odom	redirect_404	https://camellia.iflora.cn/Error/Error404
Debutante-Benten	https://camellia.iflora.cn/Cutivars/Detail?latin=Debutante-Benten	redirect_404	https://camellia.iflora.cn/Error/Error404
Delight	https://camellia.iflora.cn/Cutivars/Detail?latin=Delight	redirect_404	https://camellia.iflora.cn/Error/Error404
Doc Glausier	https://camellia.iflora.cn/Cutivars/Detail?latin=Doc%20Glausier	redirect_404	https://camellia.iflora.cn/Error/Error404
Dody's Delight	https://camellia.iflora.cn/Cutivars/Detail?latin=Dody%27s%20Delight	redirect_404	https://camellia.iflora.cn/Error/Error404
Doiron's Legacy	https://camellia.iflora.cn/Cutivars/Detail?latin=Doiron%27s%20Legacy	redirect_404	https://camellia.iflora.cn/Error/Error404
Dolly Varden	https://camellia.iflora.cn/Cutivars/Detail?latin=Dolly%20Varden	redirect_404	https://camellia.iflora.cn/Error/Error404
Dominic Ditomasso	https://camellia.iflora.cn/Cutivars/Detail?latin=Dominic%20Ditomasso	redirect_404	https://camellia.iflora.cn/Error/Error404
Dona Herzília De Freitas Magalhães	https://camellia.iflora.cn/Cutivars/Detail?latin=Dona%20Herz%C3%ADlia%20De%20Freitas%20Magalh%C3%A3es	redirect_404	https://camellia.iflora.cn/Error/Error404
Dorothy Aimee	https://camellia.iflora.cn/Cutivars/Detail?latin=Dorothy%20Aimee	redirect_404	https://camellia.iflora.cn/Error/Error404
Double Bowl	https://camellia.iflora.cn/Cutivars/Detail?latin=Double%20Bowl	redirect_404	https://camellia.iflora.cn/Error/Error404
Double Pink Pompon	https://camellia.iflora.cn/Cutivars/Detail?latin=Double%20Pink%20Pompon	redirect_404	https://camellia.iflora.cn/Error/Error404
Douglas Deane Hall	https://camellia.iflora.cn/Cutivars/Detail?latin=Douglas%20Deane%20Hall	redirect_404	https://camellia.iflora.cn/Error/Error404
Dr. Bliss Shafer	https://camellia.iflora.cn/Cutivars/Detail?latin=Dr.%20Bliss%20Shafer	redirect_404	https://camellia.iflora.cn/Error/Error404
Dr. Bob	https://camellia.iflora.cn/Cutivars/Detail?latin=Dr.%20Bob	redirect_404	https://camellia.iflora.cn/Error/Error404
Dr. Campbell	https://camellia.iflora.cn/Cutivars/Detail?latin=Dr.%20Campbell	redirect_404	https://camellia.iflora.cn/Error/Error404
